"code","product"
"22042983","White wines produced in EU, in containers holding > 10 l and of an actual alcoholic strength of <=15% vol (other than sparkling wine, semi-sparkling wine and varietal wines)(2017-2500);White wines produced in EU, in containers holding > 2 l and of an actual alcoholic strength of <=15% vol (other than sparkling wine, semi-sparkling wine and varietal wines)(2010-2016);White wine of fresh grapes, in containers holding > 2 l and of an actual alcoholic strength of > 13% vol to 15% vol (other than quality wines produced in specified regions)(2005-2009);White wine of fresh grapes, in containers holding > 2 l and of an actual alcoholic strength by volume of > 13% vol to 15% vol (other than quality wines produced in specified regions)(1995-2004)"
"22042984","Wines produced in EU, in containers holding > 10 l and of an actual alcoholic strength of <=15% vol (other than sparkling wine, semi-sparkling wine, white wine and varietal wines)(2017-2500);Wines produced in EU, in containers holding > 2 l and of an actual alcoholic strength of <=15% vol (other than sparkling wine, semi-sparkling wine, white wine and varietal wines)(2010-2016);Wine of fresh grapes, incl. fortified wine and grape must with fermentation arrested or interrupted by the addition of alcohol, in containers holding > 2 l and of an actual alcoholic strength of > 13% vol to 15% vol (other than sparkling wine, semi-sparkling wine, quality wines produced in specified regions and general white wine)(1995-2009)"
"22042986","Sherry, in containers holding > 10 l and of an actual alcoholic strength of  > 15% vol, with PDO or PGI(2017-2500);Sherry, in containers holding > 2 l and of an actual alcoholic strength of  > 15% vol to 22% vol, with PDO or PGI(2010-2016)"
"22042990","Wines produced in EU, in containers holding > 10 l and of an actual alcoholic strength of  > 15% vol, with PDO or PGI (other than Madeira, Sherry, Samos, Muscat de Lemnos and Setubal muscatel)(2017-2500);Wines produced in EU, in containers holding > 2 l and of an actual alcoholic strength of  > 15% vol to 22% vol, with PDO or PGI (other than Port, Madeira, Sherry, Marsala, Samos, Muscat de Lemnos and Setubal muscatel)(2010-2016);Wine of fresh grapes, incl. fortified wines, in containers holding > 2 l, of actual alcoholic strength of > 22 % vol (excl. sparkling wine)(1988-1994)"
"22042997","White wines not produced in EU, in containers holding > 10 l (other than sparkling wine, semi-sparkling wine and varietal wines)(2017-2500);White wines not produced in EU, in containers holding > 2 l (other than sparkling wine, semi-sparkling wine and varietal wines)(2010-2016);Tokay {Aszu and Szamorodni}, in containers holding > 2 l and of an actual alcoholic strength by volume of > 18% vol to 22% vol(1995-2004)"
"22042998","Wines not produced in EU, in containers holding > 10 l (other than sparkling wine, semi-sparkling wine, white wine and varietal wines)(2017-2500);Wines not produced in EU, in containers holding > 2 l (other than sparkling wine, semi-sparkling wine, white wine and varietal wines)(2010-2016);Wine of fresh grapes, incl. fortified wine, in containers holding > 2 l and of an actual alcoholic strength of > 18% vol to 22% vol (other than Port, Madeira, Sherry and Setubal muscatel)(2005-2009);Wine of fresh grapes, incl. fortified wine, in containers holding > 2 l and of an actual alcoholic strength by volume of > 18% vol to 22% vol (other than Port, Madeira, Sherry, Setubal muscatel and Tokay {Aszu and Szamorodni})(1995-2004)"
"25084000","Clays (excl. fireclay, bentonite, kaolin and other kaolinic clays and expanded clay)(2007-2500);Clays (excl. fireclay, kaolin and other kaolinic clays and expanded clay)(1988-2006)"
"25087000","Chamotte or dinas earths(2004-2500);Chamotte or dinas earths(1988-1993)"
"25090000","Chalk"
"25120000","Siliceous fossil meals, e.g. kieselguhr, tripolite and diatomite, and similar siliceous earths, whether or not calcined, of an apparent specific gravity of <= 1"
"25152000","Ecaussine and other calcareous monumental or building stone of an apparent specific gravity of >= 2,5, and alabaster, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excl. in the form of granules, chippings or powder, and marble and travertine)"
"25182000","Calcined or sintered dolomite (excl. broken or crushed dolomite for concrete aggregates, road metalling or railway or other ballast)"
"25191000","Natural magnesium carbonate ""magnesite"""
"25201000","Gypsum; anhydrite"
"25210000","Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement"
"25221000","Quicklime"
"25223000","Hydraulic lime (excl. pure calcium oxide and calcium hydroxide)"
"25252000","Mica powder"
"25262000","Natural steatite and talc, crushed or powdered"
"27011100","Anthracite, whether or not pulverised, non-agglomerated"
"27011210","Coking coal, whether or not pulverised, non-agglomerated"
"27011290","Bituminous coal, whether or not pulverised, non-agglomerated (excl. coking)"
"27011900","Coal, whether or not pulverised, non-agglomerated (excl. anthracite and bituminous coal)"
"27021000","Lignite, whether or not pulverised, non-agglomerated (excl. jet)"
"27030000","Peat, incl. peat litter, whether or not agglomerated"
"27073000","Xylol ""xylenes"" containing > 50% of xylenes (excl. chemically defined)"
"27101921","Jet fuel, kerosene type"
"27101929","Medium oils and preparations, of petroleum or bituminous minerals, n.e.s. (excl. for undergoing chemical transformation, and kerosene)"
"27101983","Liquids for hydraulic purposes containing by weight >= 70% of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations (excl. for undergoing chemical transformation)(2012-2500);Liquids for hydraulic purposes containing by weight >= 70% of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations (excl. for undergoing chemical transformation or the specific processes specified in Additional Note 4 to chapter 27 and to be mixed in accordance with the terms of Additional Note 6 to chapter 27)(2002-2011)"
"27101999","Lubricating oils and other heavy oils and preparations n.e.s., containing by weight >= 70% of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations (excl. for undergoing chemical transformation)(2012-2500);Lubricating oils and other heavy oils and preparations n.e.s., containing by weight >= 70% of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations (excl. for undergoing chemical transformation or the specific processes specified in Additional Note 4 to chapter 27)(2002-2011)"
"27102090","Oils of >= 70% of petroleum or bituminous minerals, containing biodiesel (excl. gas oils and fuel oils)"
"27121010","Crude petroleum jelly"
"27121090","Petroleum jelly (excl. crude)"
"27129019","Ozokerite, lignite wax or peat wax ""natural products"", whether or not coloured (excl. crude)"
"27129039","Crude paraffin wax, microcrystalline petroleum wax, slack wax, other mineral waxes, and similar products obtained by synthesis or by other processes (excl. for undergoing chemical transformation, petroleum jelly, paraffin wax containing < 0,75% by weight of oil, ozokerite, lignite wax and peat wax)"
"27129099","Paraffin wax, microcrystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products obtained by synthesis or by other processes, whether or not coloured (excl. petroleum jelly, paraffin wax containing < 0,75% by weight of oil and a blend of 1-alkenes containing by weight >= 80% of 1-alkenes of a chain-length of >= 24 but <= 28 carbon atoms)"
"27150000","Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch(1999-2500);Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch(1988-1994)"
"28041000","Hydrogen"
"28043000","Nitrogen"
"28044000","Oxygen"
"28046100","Silicon containing >= 99,99% by weight of silicon"
"28061000","Hydrogen chloride ""hydrochloric acid"""
"28062000","Chlorosulphuric acid"
"28112930","Nitrogen oxides"
"28112990","Inorganic oxygen compounds of non-metals (excl. diphosphorus pentaoxide, oxides of boron, carbon dioxide, silicon dioxide, sulphur dioxide, sulphur trioxide ""sulphuric anhydride"", diarsenic trioxide and nitrogen oxides)"
"28131000","Carbon disulphide"
"28142000","Ammonia in aqueous solution"
"28151200","Sodium hydroxide ""caustic soda"" in aqueous solution ""soda lye or liquid soda"""
"28183000","Aluminium hydroxide"
"28199010","Chromium dioxide"
"28199090","Chromium oxides and hydroxides (excl. chromium trioxide and chromium dioxide)"
"28201000","Manganese dioxide"
"28273100","Magnesium chloride"
"28289000","Hypochlorites, chlorites and hypobromites (excl. calcium hypochlorites)"
"28291100","Chlorate of sodium"
"28322000","Sulphites (excl. sodium)"
"28332400","Sulphates of nickel"
"28333000","Alums"
"28341000","Nitrites"
"28363000","Sodium hydrogencarbonate ""sodium bicarbonate"""
"28365000","Calcium carbonate"
"28399000","Silicates, incl. commercial alkali metal silicates (excl. sodium silicates)(2012-2500);Silicates, incl. commercial alkali metal silicates (excl. sodium and potassium silicates)(1993-2006)"
"28403000","Peroxoborates ""perborates"""
"28415000","Chromates and dichromates; peroxochromates (excl. sodium dichromate and  inorganic or organic compounds of mercury)(2007-2500);Chromates and dichromates; peroxochromates (excl. chromates of zinc or of lead and sodium dichromate)(2002-2006);Chromates and dichromates; peroxochromates (excl. chromates of zinc or of lead, sodium dichromate and potassium dichromate)(1988-2001)"
"28418000","Tungstates ""wolframates"""
"28431010","Colloidal silver"
"28431090","Colloidal precious metals (excl. silver)"
"28432100","Silver nitrate"
"28432900","Silver compounds, inorganic or organic, whether or not chemically defined (excl. of mercury and silver nitrate)(2007-2500);Silver compounds, inorganic or organic, whether or not chemically defined (excl. silver nitrate)(1988-2006)"
"28433000","Gold compounds, inorganic or organic, whether or not chemically defined"
"28470000","Hydrogen peroxide, whether or not solidified with urea"
"29012300","Butene ""butylene"" and isomers thereof(2009-2500);Butene 'butylene' and isomers thereof(1988-1993)"
"29012400","Buta-1,3-diene and isoprene(2009-2500);Buta-1,3-diene and isoprene(1988-1993)"
"29012900","Hydrocarbons, acyclic, unsaturated (excl. ethylene, propene ""propylene"", butene ""butylene"" and isomers thereof and Buta-1,3-diene and isoprene)(2004-2500);Hydrocarbons, acyclic, unsaturated (excl. ethylene, propene 'propylene', butene 'butylene' and isomers thereof and buta-1.3-diene and isoprene)(1993-1994)"
"29021100","Cyclohexane(2002-2500);Cyclohexane(1988-1994)"
"29023000","Toluene"
"29024100","o-Xylene"
"29024300","p-Xylene"
"29024400","Mixed xylene isomers"
"29025000","Styrene"
"29031100","Chloromethane ""methyl chloride"" and chloroethane ""ethyl chloride"""
"29031200","Dichloromethane ""methylene chloride"""
"29032100","Vinyl chloride ""chloroethylene"""
"29032300","Tetrachloroethylene ""perchloroethylene"""
"29032900","Unsaturated chlorinated derivatives of acyclic hydrocarbons (excl. vinyl chloride ""chloroethylene"", trichloroethylene and tetrachloroethylene ""perchloroethylene"")"
"29037610","Bromochlorodifluoromethane"
"29038100","1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)"
"29039100","Chlorobenzene, o-dichlorobenzene and p-dichlorobenzene"
"29041000","Derivatives of hydrocarbons containing only sulpho groups, their salts and ethyl esters"
"29042000","Derivatives of hydrocarbons containing only nitro or nitroso groups"
"29051300","Butan-1-ol ""n-butyl alcohol"""
"29051685","Octanol ""octyl alcohol"" and isomers thereof (excl. octan-2-ol)"
"29051900","Saturated monohydric acyclic alcohols (excl. methanol ""methyl alcohol"", propan-1-ol ""propyl alcohol"", propan-2-ol ""isopropyl alcohol"", butanols, octanol ""octyl alcohol"" and isomers thereof, dodecan-1-ol ""lauryl alcohol"", hexadecan-1-ol ""cetyl alcohol"" and octadecan-1-ol ""stearyl alcohol"")(2007-2500);Saturated monohydric acyclic alcohols (excl. methanol ""methyl alcohol"", propan-1-ol ""propyl alcohol"", propan-2-ol ""isopropyl alcohol"", butanols, pentanol ""amyl alcohol"" and isomers thereof, octanol ""octyl alcohol"" and isomers thereof, dodecan-1-ol ""lauryl alcohol"", hexadecan-1-ol ""cetyl alcohol"" and octadecan-1-ol ""stearyl alcohol"")(1999-2006)"
"29054100","2-Ethyl-2-""hydroxymethyl"" propane-1,3-diol ""trimethylolpropane"""
"29055991","2,2-Bis""bromomethyl""propanediol"
"29055998","Halogenated, sulphonated, nitrated or nitrosated derivatives of acyclic alcohols (excl. 2,2-bis""bromomethyl""propanediol and ethchlorvynol (INN))"
"29061310","Sterols"
"29061390","Inositols"
"29061900","Cyclanic, cyclenic or cycloterpenic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excl. menthol, cyclohexanol, methylcyclohexanols, dimethylcyclohexanols, sterols and inositols)(2007-2500);Cyclanic, cyclenic or cycloterpenic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excl. menthol, cyclohexanol, methylcyclohexanols, dimethylcyclohexanols, sterols, inositols and terpineols)(1988-2006)"
"29071100","Phenol ""hydroxybenzene"" and its salts"
"29071300","Octylphenol, nonylphenol and their isomers; salts thereof"
"29071910","Xylenols and their salts(2007-2500);p-tert-Butylphenol(1990-1997)"
"29071990","Monophenols (excl. phenol ""hydroxybenzene"" and its salts, cresols and their salts, octylphenol, nonylphenol and their isomers and salts thereof, xylenols and their salts and naphthols and their salts)(2007-2500);Monophenols (excl. phenol ""hydroxybenzene"" and its salts, cresols and their salts, octylphenol, nonylphenol and their isomers and salts thereof, xylenols and their salts and naphthols and their salts and p-tert-butylphenol)(1990-1997)"
"29072200","Hydroquinone ""quinol"" and its salts"
"29091100","Diethyl ether"
"29092000","Cyclanic, cyclenic or cycloterpenic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives"
"29094100","2,2'-Oxydiethanol ""diethylene glycol, digol"""
"29094300","Monobutyl ethers of ethylene glycol or of diethylene glycol"
"29094911","2-""2-Chloroethoxy""ethanol"
"29094980","Cyclic ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excl. 2-(2-Chloroethoxy)ethanol)"
"29102000","Methyloxirane ""propylene oxide"""
"29110000","Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives(2022-2500);Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives(1988-2021)"
"29121200","Ethanal ""acetaldehyde"""
"29124900","Aldehyde-alcohols, aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function (excl. ethylvanillin ""3-ethoxy-4-hydroxybenzaldehyde"" and vanillin ""4-hydroxy-3-methoxybenzaldehyde"")(2012-2500);Aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function (excl. ethylvanillin ""3-ethoxy-4-hydroxybenzaldehyde"" and vanillin ""4-hydroxy-3-methoxybenzaldehyde"")(1988-2011)"
"29141100","Acetone"
"29151300","Esters of formic acid"
"29159030","Lauric acid and its salts and esters"
"29159070","Saturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives (excl. formic acid and acetic acid, mono-, di- or trichloroacetic acids, propionic acid, butanoic and pentanoic acids, palmitic, stearic and lauric acids and their salts and esters, and acetic anhydride)"
"29161200","Esters of acrylic acid(2009-2500);Esters of acrylic acid(1988-1993)"
"29161300","Methacrylic acid and its salts"
"29161400","Esters of methacrylic acid(2009-2500);Esters of methacrylic acid(1988-1993)"
"29161500","Oleic, linoleic or linolenic acids, their salts and esters (excl. inorganic or organic compounds of mercury)(2007-2500);Oleic, linoleic or linolenic acids, their salts and esters(1988-2006)"
"29173300","Dinonyl or didecyl orthophthalates"
"29201100","Parathion (ISO) and parathion-methyl (ISO) ""methyl-parathion"""
"29212200","Hexamethylenediamine and its salts"
"29214100","Aniline and its salts (excl. inorganic or organic compounds of mercury)(2007-2500);Aniline and its salts(1988-2006)"
"29221100","Monoethanolamine and its salts"
"29232000","Lecithins and other phosphoaminolipids, whether or not chemically defined"
"29304010","Methionine (INN)"
"29304090","Methionine (excl. methionine (INN))"
"29335400","Derivatives of malonylurea ""barbituric acid"" and salts thereof (excl. salts of malonylurea)"
"32019020","Sumach, valonea, oak or chestnut extract"
"32019090","Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives (excl. quebracho extract, wattle extract, oak extract, chestnut extract, sumach extract and valonia extract)(2012-2500);Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives (excl. quebracho extract, wattle extract, oak extract, chestnut extract, sumach extract and valonia extract)(1988-2011)"
"32021000","Synthetic organic tanning substances"
"32029000","Inorganic tanning substances; tanning preparations, whether or not containing natural tanning substances; enzymatic preparations for pre-tanning"
"32030010","Dyes of vegetable origin, incl. dye extracts, whether or not chemically defined; preparations based on dyes of vegetable origin of a kind used to dye fabrics or produce colorant preparations (excl. preparations of heading 3207, 3208, 3209, 3210, 3213 and 3215)"
"32030090","Dyes of animal origin, incl. dye extracts but excl. animal black, whether or not chemically defined; preparations based on dyes of animal origin of a kind used to dye fabrics or produce colorant preparations (excl. preparations of heading 3207, 3208, 3209, 3210, 3213 and 3215)"
"32049000","Synthetic organic products of a kind used as luminophores, whether or not chemically defined"
"32050000","Colour lakes (other than Chinese or Japanese lacquer and paints); preparations based on colour lakes of a kind used to dye fabrics or produce colorant preparations (excl. preparations of heading 3207, 3208, 3209, 3210, 3213 and 3215)"
"32064100","Ultramarine and preparations based thereon of a kind used for colouring any material or produce colorant preparations (excl. preparations of heading 3207, 3208, 3209, 3210, 3213 and 3215)"
"32064910","Magnetite, fine-ground"
"32064970","Inorganic or mineral colouring matter, n.e.s.; preparations based on inorganic or mineral colouring matter of a kind used for colouring any material or produce colorant preparations, n.e.s. (excl. preparations of heading 3207, 3208, 3209, 3210, 3213 and 3215, inorganic products of a kind used as liminophores and magnetite)"
"32071000","Prepared pigments, prepared opacifiers, prepared colours and similar preparations of a kind used in the ceramic, enamelling or glass industry"
"32072010","Engobes ""slips"""
"32072090","Vitrifiable enamels and glazes and similar preparations (excl. englobes)"
"32073000","Liquid lustres and similar preparations of the kind used in the ceramic, enamelling or glass industry"
"32081010","Polyester-based solutions in volatile organic solvents, containing > 50% solvent by weight"
"32081090","Paints and varnishes, incl. enamels and lacquers, based on polyesters, dispersed or dissolved in a non-aqueous medium"
"32082010","Solutions based on acrylic or vinyl polymers in volatile organic solvents, containing > 50% solvent by weight"
"32082090","Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed or dissolved in a non-aqueous medium"
"32089011","Polyurethane of 2,2'-""tert-butylimino""diethanol and 4,4'-methylenedicyclohexyl diisocyanate, in the form of a solution in N,N-dimethylacetamide, containing by weight >= 48%, but < 50% of polymer"
"32089019","Solutions of products of headings 3901 to 3913 in volatile organic solvents, containing > 50% solvent by weight (excl. polyesters, acrylic or vinyl polymers and collodion, and polyurethane of 2,2'-""tert-butylimino""diethanol and 4,4'-methylenedicyclohexyl diisocyanate and copolymer of p-cresol and divinylbenzene, both in the form of a solution in N,N-dimethylacetamide, containing by weight >= 48% of polymer)"
"32089091","Paints and varnishes, incl. enamels and lacquers, based on synthetic polymers, dispersed or dissolved in a non-aqueous medium (excl. those based on polyesters and acrylic or vinyl polymers)"
"32089099","Paints and varnishes, incl. enamels and lacquers, based on chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium"
"32091000","Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed or dissolved in an aqueous medium"
"32099000","Paints and varnishes, incl. enamels and lacquers, based on synthetic or chemically modified natural polymers, dispersed or dissolved in an aqueous medium (excl. those based on acrylic or vinyl polymers)"
"32100010","Oil paints and varnishes, incl. enamels and lacquers"
"32100090","Paints and varnishes, incl. enamels, lacquers and distempers (excl. those based on synthetic polymers or chemically modified natural polymers that are dispersed or dissolved in a medium, and oil paints and varnishes); prepared water pigments of a kind used for finishing leather"
"32129000","Pigments, incl. metallic powders and flakes, dispersed in non-aqueous media, in liquid or paste form, of a kind used in the manufacture of paints; colorants and other colouring matter, n.e.s. put up for retail sale"
"32141010","Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics"
"32141090","Painter's fillings"
"32149000","Non-refractory surfacing preparations for facades, inside walls, floors, ceilings and the like"
"32151100","Black printing ink, whether or not concentrated or solid(2018-2500);Black printing ink, whether or not concentrated or solid(1988-2016)"
"32151900","Printing ink, whether or not concentrated or solid (excl. black ink)(2018-2500);Printing ink, whether or not concentrated or solid (excl. black ink)(1988-2016)"
"33030010","Perfumes (excl. aftershave lotions and personal deodorants)"
"33030090","Toilet waters (excl. aftershave lotions, deodorants and hair lotions)"
"33041000","Lip make-up preparations"
"33042000","Eye make-up preparations"
"33043000","Manicure or pedicure preparations"
"33049100","Make-up or skin care powders, incl. baby powders, whether or not compressed (excl. medicaments)"
"33049900","Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), incl. sunscreen or suntan preparations (excl. medicaments, lip and eye make-up preparations, manicure or pedicure preparations and make-up or skin care powders, incl. baby powders)"
"33051000","Shampoos"
"33052000","Preparations for permanent waving or straightening"
"33053000","Hair lacquers"
"33059000","Preparations for use on the hair (excl. shampoos, preparations for permanent waving or straightening and hair lacquers)"
